Symbol,Symbol - Name
AGGR,AGGR - Agile Growth Corp. Class A Ordinary Share
AGI,AGI - Alamos Gold Inc. Class A Common Shares
AGIL,AGIL - AgileThought Inc. Class A Common Stock
AGIO,AGIO - Agios Pharmaceuticals Inc. Common Stock
AGL,AGL - agilon health inc. Common Stock
AGLE,AGLE - Aeglea BioTherapeutics Inc. Common Stock
AGM,AGM - Federal Agricultural Mortgage Corporation Common Stock
AGMH,AGMH - AGM Group Holdings Inc. Class A Ordinary Shares
AGNC,AGNC - AGNC Investment Corp. Common Stock
AGNCM,AGNCM - AGNC Investment Corp. Depositary Shares rep 6.875% Series D Fixed-to-Floating Cumulative Redeemable Preferred Stock
AGNCN,AGNCN - AGNC Investment Corp. Depositary Shares Each Representing a 1/1000th Interest in a Share of 7.00% Series C Fixed-To-Floating Rate Cumulative Redeemable Preferred Stock
AGNCO,AGNCO - AGNC Investment Corp. Depositary Shares each representing a 1/1000th interest in a share of 6.50% Series E Fixed-to-Floating Cumulative Redeemable Preferred Stock
AGNCP,AGNCP - AGNC Investment Corp. Depositary Shares Each Representing a 1/1000th Interest in a Share of 6.125% Series F Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock
AGO,AGO - Assured Guaranty Ltd. Common Stock
AGR,AGR - Avangrid Inc. Common Stock
AGRI,AGRI - AgriFORCE  Growing Systems Ltd. Common Shares
AGRO,AGRO - Adecoagro S.A. Common Shares
AGRX,AGRX - Agile Therapeutics Inc. Common Stock
AGS,AGS - PlayAGS Inc. Common Stock
AGTC,AGTC - Applied Genetic Technologies Corporation Common Stock
AGTI,AGTI - Agiliti Inc. Common Stock
AGX,AGX - Argan Inc. Common Stock
AGYS,AGYS - Agilysys Inc. Common Stock
AHCO,AHCO - AdaptHealth Corp. Common Stock
AHH,AHH - Armada Hoffler Properties Inc. Common Stock
AHPA,AHPA - Avista Public Acquisition Corp. II Class A Ordinary Shares
AHPAU,AHPAU - Avista Public Acquisition Corp. II Unit
AHPI,AHPI - Allied Healthcare Products Inc. Common Stock
AHT,AHT - Ashford Hospitality Trust Inc Common Stock
AI,AI - C3.ai Inc. Class A Common Stock
AIC,AIC - Arlington Asset Investment Corp 6.750% Notes due 2025
AIF,AIF - Apollo Tactical Income Fund Inc. Common Stock
AIG,AIG - American International Group Inc. New Common Stock
AIH,AIH - Aesthetic Medical International Holdings Group Ltd. American Depositary Shares
AIHS,AIHS - Senmiao Technology Limited Common Stock
AIKI,AIKI - AIkido Pharma Inc. Common Stock
AIM,AIM - AIM ImmunoTech Inc. Common Stock
AIMC,AIMC - Altra Industrial Motion Corp. Common Stock
AIN,AIN - Albany International Corporation Common Stock
AINC,AINC - Ashford Inc. (Holding Company) Common Stock
AINV,AINV - Apollo Investment Corporation Common Stock
AIO,AIO - Virtus AllianzGI Artificial Intelligence & Technology Opportunities Fund Common Shares
AIP,AIP - Arteris Inc. Common Stock
AIR,AIR - AAR Corp. Common Stock
AIRC,AIRC - Apartment Income REIT Corp. Common Stock
AIRG,AIRG - Airgain Inc. Common Stock
AIRI,AIRI - Air Industries Group Common Stock
AIRS,AIRS - AirSculpt Technologies Inc. Common Stock
AIRT,AIRT - Air T Inc. Common Stock
AIRTP,AIRTP - Air T Inc. Air T Funding Alpha Income Trust Preferred Securities
AIT,AIT - Applied Industrial Technologies Inc. Common Stock
AIV,AIV - Apartment Investment and Management Company Common Stock
AIZ,AIZ - Assurant Inc. Common Stock
AIZN,AIZN - Assurant Inc. 5.25% Subordinated Notes due 2061
AJG,AJG - Arthur J. Gallagher & Co. Common Stock
AJRD,AJRD - Aerojet Rocketdyne Holdings Inc. Common Stock
AJX,AJX - Great Ajax Corp. Common Stock
AJXA,AJXA - Great Ajax Corp. 7.25% Convertible Senior Notes due 2024
AKA,AKA - a.k.a. Brands Holding Corp. Common Stock
AKAM,AKAM - Akamai Technologies Inc. Common Stock
AKBA,AKBA - Akebia Therapeutics Inc. Common Stock
AKIC,AKIC - Sports Ventures Acquisition Corp. Class A Ordinary Shares
AKICU,AKICU - Sports Ventures Acquisition Corp. Unit
AKR,AKR - Acadia Realty Trust Common Stock
AKRO,AKRO - Akero Therapeutics Inc. Common Stock
AKTS,AKTS - Akoustis Technologies Inc. Common Stock
AKTX,AKTX - Akari Therapeutics plc ADS
AKU,AKU - Akumin Inc. Common Shares
AKUS,AKUS - Akouos Inc. Common Stock
AKYA,AKYA - Akoya BioSciences Inc. Common Stock
AL,AL - Air Lease Corporation Class A Common Stock
ALAC,ALAC - Alberton Acquisition Corporation Ordinary Shares
ALACU,ALACU - Alberton Acquisition Corporation Unit
ALB,ALB - Albemarle Corporation Common Stock
ALBO,ALBO - Albireo Pharma Inc. Common Stock
ALC,ALC - Alcon Inc. Ordinary Shares
